ts,open,high,low,close,volume,spread
2026-05-01 00:00:00+00:00,4626.305,4628.565,4623.035,4627.595,1089,0.7130082644628319
2026-05-01 00:05:00+00:00,4627.545,4630.915,4625.235,4626.705,877,0.693981755986308
2026-05-01 00:10:00+00:00,4626.725,4627.495,4620.615,4622.215,950,0.6932484210526509
2026-05-01 00:15:00+00:00,4622.185,4627.315,4620.795,4625.905,899,0.7010422691879695
2026-05-01 00:20:00+00:00,4625.885,4628.305,4623.205,4623.205,730,0.6883589041095995
2026-05-01 00:25:00+00:00,4623.165,4625.295,4622.908,4623.385,781,0.6893137003841163
2026-05-01 00:30:00+00:00,4623.418,4624.685,4621.055,4621.425,744,0.6746505376344313
2026-05-01 00:35:00+00:00,4621.395,4622.055,4618.335,4620.955,765,0.6905869281045763
2026-05-01 00:40:00+00:00,4620.915,4621.835,4618.715,4620.585,549,0.6991967213114745
2026-05-01 00:45:00+00:00,4620.605,4623.255,4620.435,4622.045,660,0.6879590909090741
2026-05-01 00:50:00+00:00,4622.015,4624.105,4620.725,4624.105,616,0.694788961038971
2026-05-01 00:55:00+00:00,4624.195,4624.975,4619.425,4619.545,1393,0.701112706389077
2026-05-01 01:00:00+00:00,4619.575,4620.785,4616.715,4617.355,1185,0.8137206751055136
2026-05-01 01:05:00+00:00,4617.285,4619.485,4615.935,4617.795,615,0.7351219512195719
2026-05-01 01:10:00+00:00,4617.825,4619.255,4615.385,4618.305,688,0.785260174418639
2026-05-01 01:15:00+00:00,4618.235,4618.865,4614.255,4614.355,664,0.8097439759036297
2026-05-01 01:20:00+00:00,4614.325,4616.465,4613.735,4614.835,713,0.8027601683029841
2026-05-01 01:25:00+00:00,4614.905,4616.515,4614.345,4616.165,553,0.8033924050633583
2026-05-01 01:30:00+00:00,4616.145,4620.705,4615.935,4619.285,784,0.7280229591836717
2026-05-01 01:35:00+00:00,4619.255,4621.245,4618.895,4620.915,538,0.7117249070632078
2026-05-01 01:40:00+00:00,4620.895,4621.685,4618.815,4619.875,534,0.7003951310861329
2026-05-01 01:45:00+00:00,4619.905,4620.555,4618.785,4619.765,525,0.7430285714285838
2026-05-01 01:50:00+00:00,4619.685,4621.435,4618.585,4619.155,521,0.7051420345489336
2026-05-01 01:55:00+00:00,4619.085,4622.045,4618.625,4620.765,542,0.7364188191881821
2026-05-01 02:00:00+00:00,4620.725,4625.165,4619.585,4624.475,540,0.6966000000000164
2026-05-01 02:05:00+00:00,4624.505,4626.015,4623.215,4625.985,830,0.6812602409638652
2026-05-01 02:10:00+00:00,4625.955,4634.305,4625.955,4630.575,935,0.6793657754010621
2026-05-01 02:15:00+00:00,4630.635,4635.695,4630.048,4633.325,749,0.689571428571422
2026-05-01 02:20:00+00:00,4633.375,4633.785,4628.575,4629.705,696,0.6807227011494402
2026-05-01 02:25:00+00:00,4629.745,4630.945,4628.118,4629.125,448,0.6762321428571495
2026-05-01 02:30:00+00:00,4629.105,4630.825,4628.335,4628.515,538,0.6762732342007148
2026-05-01 02:35:00+00:00,4628.545,4630.318,4627.685,4628.085,498,0.6948975903614663
2026-05-01 02:40:00+00:00,4628.045,4628.525,4623.585,4624.055,599,0.6955893155258801
