ts,open,high,low,close,volume,spread
2025-02-02 23:00:00+00:00,2793.987,2801.748,2793.987,2801.448,31,1.3285483870968458
2025-02-02 23:05:00+00:00,2800.758,2802.548,2796.388,2800.848,651,3.3910184331797986
2025-02-02 23:10:00+00:00,2799.788,2803.148,2797.348,2801.448,1381,3.0729724837074976
2025-02-02 23:15:00+00:00,2801.348,2802.048,2797.918,2799.545,2103,2.4555886828340685
2025-02-02 23:20:00+00:00,2799.005,2799.348,2789.008,2791.875,2162,2.5450832562442254
2025-02-02 23:25:00+00:00,2791.875,2792.785,2786.948,2791.225,1536,3.0005989583333346
2025-02-02 23:30:00+00:00,2791.325,2791.325,2785.165,2788.865,1970,2.9633335025380934
2025-02-02 23:35:00+00:00,2788.685,2789.848,2782.548,2784.955,887,2.8639943630214812
2025-02-02 23:40:00+00:00,2784.948,2792.848,2784.795,2791.605,1109,2.54239945897207
2025-02-02 23:45:00+00:00,2791.428,2792.155,2788.148,2792.155,851,2.097566392479445
2025-02-02 23:50:00+00:00,2792.145,2794.048,2790.648,2792.808,685,2.199325547445286
2025-02-02 23:55:00+00:00,2792.868,2793.965,2790.648,2792.545,469,2.622498933901933
2025-02-03 00:00:00+00:00,2792.108,2793.838,2791.368,2792.128,712,2.57128370786522
2025-02-03 00:05:00+00:00,2792.058,2795.055,2790.848,2792.348,708,2.7113559322034444
2025-02-03 00:10:00+00:00,2792.248,2794.038,2790.508,2793.368,613,2.1620717781403096
2025-02-03 00:15:00+00:00,2793.348,2795.208,2792.838,2794.618,1253,0.7972098962490158
2025-02-03 00:20:00+00:00,2794.618,2794.618,2789.575,2790.318,2476,0.8026324717286076
2025-02-03 00:25:00+00:00,2790.578,2794.048,2790.135,2793.318,1330,1.130684962406024
2025-02-03 00:30:00+00:00,2793.318,2793.818,2791.118,2792.938,1155,1.1015082251082324
2025-02-03 00:35:00+00:00,2793.268,2795.598,2792.268,2793.288,1357,0.90254237288136
2025-02-03 00:40:00+00:00,2793.288,2795.538,2792.598,2794.358,1434,0.652525104602513
2025-02-03 00:45:00+00:00,2794.358,2794.648,2792.725,2794.458,1508,0.6325663129973622
2025-02-03 00:50:00+00:00,2794.468,2795.488,2790.805,2790.805,1387,0.5886236481615084
2025-02-03 00:55:00+00:00,2790.795,2792.405,2790.458,2792.005,1548,0.5344664082687378
2025-02-03 01:00:00+00:00,2791.975,2792.035,2786.998,2787.478,2202,0.5828128973660328
2025-02-03 01:05:00+00:00,2787.458,2789.548,2783.905,2784.505,1827,0.6185599343185632
2025-02-03 01:10:00+00:00,2784.515,2785.805,2782.375,2785.345,1739,0.6783076480736122
2025-02-03 01:15:00+00:00,2785.325,2785.415,2781.115,2782.505,1614,0.6957149938042145
2025-02-03 01:20:00+00:00,2782.408,2784.275,2781.525,2781.858,1497,0.5864342017368044
2025-02-03 01:25:00+00:00,2781.858,2782.858,2781.278,2782.068,2225,0.7315393258427075
2025-02-03 01:30:00+00:00,2782.068,2783.695,2780.508,2783.475,1934,0.6370377456049635
2025-02-03 01:35:00+00:00,2783.448,2784.448,2781.565,2781.678,1113,0.5487484276729846
2025-02-03 01:40:00+00:00,2781.648,2783.585,2780.705,2783.305,1434,0.6460648535564878
2025-02-03 01:45:00+00:00,2783.315,2783.635,2782.365,2782.405,1300,0.6513161538461666
2025-02-03 01:50:00+00:00,2782.375,2783.795,2781.835,2782.455,1506,0.6199203187250975
2025-02-03 01:55:00+00:00,2782.455,2782.505,2777.845,2782.095,1934,0.6128671147880186
2025-02-03 02:00:00+00:00,2782.075,2782.595,2777.698,2779.035,1541,0.609566515249842
2025-02-03 02:05:00+00:00,2779.105,2780.165,2775.438,2777.585,2420,0.7098144628099308
2025-02-03 02:10:00+00:00,2777.468,2779.568,2776.285,2778.288,2473,0.9394949454104284
2025-02-03 02:15:00+00:00,2778.288,2780.445,2777.235,2778.265,2206,0.7809750679963713
2025-02-03 02:20:00+00:00,2778.245,2779.305,2776.815,2779.235,2267,0.8679594177326885
2025-02-03 02:25:00+00:00,2779.195,2781.135,2776.925,2777.835,1927,0.7560648676699601
2025-02-03 02:30:00+00:00,2777.865,2779.528,2776.118,2779.278,2649,0.6278301245753171
2025-02-03 02:35:00+00:00,2779.278,2779.278,2773.345,2774.515,2739,0.6746250456371002
2025-02-03 02:40:00+00:00,2774.505,2776.075,2773.535,2775.685,2340,0.8933350427350494
