ts,open,high,low,close,volume
2026-04-06 13:20:00+00:00,0.57226,0.57235,0.57223,0.57227,120
2026-04-06 13:25:00+00:00,0.5722,0.57222,0.57209,0.57218,117
2026-04-06 13:30:00+00:00,0.57218,0.57226,0.5721,0.57226,115
2026-04-06 13:35:00+00:00,0.57226,0.57227,0.57214,0.57218,119
2026-04-06 13:40:00+00:00,0.57218,0.57225,0.57208,0.57216,103
2026-04-06 13:45:00+00:00,0.57216,0.5722,0.57141,0.57211,608
2026-04-06 13:50:00+00:00,0.57211,0.57218,0.57196,0.57199,324
2026-04-06 13:55:00+00:00,0.57199,0.57208,0.57187,0.57191,262
2026-04-06 14:00:00+00:00,0.57191,0.57205,0.57184,0.57198,270
2026-04-06 14:05:00+00:00,0.57198,0.57199,0.57177,0.57178,213
2026-04-06 14:10:00+00:00,0.57178,0.57183,0.57154,0.5716,207
2026-04-06 14:15:00+00:00,0.5716,0.57174,0.57155,0.57167,169
2026-04-06 14:20:00+00:00,0.57166,0.57169,0.57143,0.5715,178
2026-04-06 14:25:00+00:00,0.5715,0.57165,0.57144,0.57164,157
2026-04-06 14:30:00+00:00,0.57164,0.57182,0.57163,0.57179,153
2026-04-06 14:35:00+00:00,0.57179,0.57194,0.5717,0.57194,159
2026-04-06 14:40:00+00:00,0.57194,0.57203,0.57184,0.57187,112
2026-04-06 14:45:00+00:00,0.57187,0.5722,0.57187,0.57218,182
2026-04-06 14:50:00+00:00,0.57218,0.5722,0.57205,0.57208,141
2026-04-06 14:55:00+00:00,0.57208,0.57209,0.57198,0.57204,135
2026-04-06 15:00:00+00:00,0.57204,0.57214,0.57196,0.57205,130
2026-04-06 15:05:00+00:00,0.57205,0.57226,0.57202,0.5722,106
2026-04-06 15:10:00+00:00,0.5722,0.57222,0.57203,0.57205,144
2026-04-06 15:15:00+00:00,0.57205,0.57205,0.57183,0.57188,238
2026-04-06 15:20:00+00:00,0.57188,0.57189,0.57161,0.57181,161
2026-04-06 15:25:00+00:00,0.57181,0.57192,0.57173,0.57187,150
2026-04-06 15:30:00+00:00,0.57187,0.57199,0.57183,0.57189,160
2026-04-06 15:35:00+00:00,0.57189,0.5721,0.57182,0.57204,182
2026-04-06 15:40:00+00:00,0.57204,0.57214,0.57193,0.57214,164
2026-04-06 15:45:00+00:00,0.57214,0.57228,0.57213,0.5722,176
2026-04-06 15:50:00+00:00,0.5722,0.57231,0.57208,0.57216,157
2026-04-06 15:55:00+00:00,0.57216,0.57216,0.57203,0.57203,128
2026-04-06 16:00:00+00:00,0.57203,0.57211,0.57194,0.57196,183
2026-04-06 16:05:00+00:00,0.57196,0.57205,0.5718,0.57204,224
2026-04-06 16:10:00+00:00,0.57204,0.57216,0.57197,0.57206,195
2026-04-06 16:15:00+00:00,0.57206,0.57213,0.57196,0.57197,144
2026-04-06 16:20:00+00:00,0.57197,0.57219,0.57194,0.57215,152
2026-04-06 16:25:00+00:00,0.57215,0.57221,0.57206,0.57214,204
2026-04-06 16:30:00+00:00,0.57214,0.57248,0.57214,0.57227,608
2026-04-06 16:35:00+00:00,0.57227,0.57233,0.57195,0.572,466
2026-04-06 16:40:00+00:00,0.57199,0.57215,0.5719,0.57202,309
2026-04-06 16:45:00+00:00,0.57202,0.57223,0.57199,0.57213,326
2026-04-06 16:50:00+00:00,0.57213,0.57225,0.57206,0.57217,266
2026-04-06 16:55:00+00:00,0.57217,0.57222,0.57197,0.57213,262
2026-04-06 17:00:00+00:00,0.57213,0.57263,0.5715,0.57152,594
2026-04-06 17:05:00+00:00,0.57152,0.57173,0.57145,0.57169,425
2026-04-06 17:10:00+00:00,0.57168,0.57238,0.57151,0.57238,385
2026-04-06 17:15:00+00:00,0.57238,0.57248,0.57224,0.57239,445
2026-04-06 17:20:00+00:00,0.57239,0.57257,0.57224,0.57256,390
2026-04-06 17:25:00+00:00,0.57256,0.57264,0.57238,0.57257,318
2026-04-06 17:30:00+00:00,0.57257,0.57287,0.57255,0.57273,265
2026-04-06 17:35:00+00:00,0.57273,0.57293,0.57174,0.57245,774
2026-04-06 17:40:00+00:00,0.57245,0.57282,0.57241,0.57267,652
2026-04-06 17:45:00+00:00,0.57267,0.5727,0.57243,0.57246,532
2026-04-06 17:50:00+00:00,0.57245,0.57259,0.57193,0.57196,574
2026-04-06 17:55:00+00:00,0.57197,0.5721,0.57175,0.57188,489
2026-04-06 18:00:00+00:00,0.57188,0.57189,0.57146,0.57153,399
2026-04-06 18:05:00+00:00,0.57153,0.57172,0.57149,0.57156,302
2026-04-06 18:10:00+00:00,0.57156,0.57158,0.57121,0.57132,480
2026-04-06 18:15:00+00:00,0.57131,0.57151,0.57118,0.57142,351
2026-04-06 18:20:00+00:00,0.57142,0.57167,0.57141,0.57153,336
2026-04-06 18:25:00+00:00,0.57153,0.57153,0.57132,0.57138,249
2026-04-06 18:30:00+00:00,0.57138,0.5714,0.57107,0.57111,266
2026-04-06 18:35:00+00:00,0.57111,0.57139,0.57111,0.57135,261
2026-04-06 18:40:00+00:00,0.57136,0.57141,0.5712,0.57132,257
2026-04-06 18:45:00+00:00,0.57132,0.57145,0.57121,0.57134,250
2026-04-06 18:50:00+00:00,0.57134,0.57157,0.57125,0.57156,265
2026-04-06 18:55:00+00:00,0.57156,0.5718,0.57153,0.57178,244
2026-04-06 19:00:00+00:00,0.57178,0.57186,0.57162,0.57174,366
2026-04-06 19:05:00+00:00,0.57174,0.57191,0.57174,0.57183,209
2026-04-06 19:10:00+00:00,0.57183,0.57195,0.57176,0.5719,197
2026-04-06 19:15:00+00:00,0.57191,0.57193,0.57175,0.5718,195
2026-04-06 19:20:00+00:00,0.5718,0.57185,0.57155,0.57158,191
2026-04-06 19:25:00+00:00,0.57158,0.5717,0.57157,0.57164,146
2026-04-06 19:30:00+00:00,0.57164,0.57166,0.57155,0.5716,112
2026-04-06 19:35:00+00:00,0.5716,0.57186,0.57159,0.57167,159
2026-04-06 19:40:00+00:00,0.57167,0.57179,0.57161,0.57167,178
2026-04-06 19:45:00+00:00,0.57167,0.57168,0.57154,0.57164,155
2026-04-06 19:50:00+00:00,0.57164,0.5717,0.57142,0.57145,185
2026-04-06 19:55:00+00:00,0.57145,0.5715,0.57128,0.57144,411
2026-04-06 20:00:00+00:00,0.57144,0.57147,0.57099,0.57111,450
2026-04-06 20:05:00+00:00,0.57113,0.57113,0.57089,0.57092,218
2026-04-06 20:10:00+00:00,0.57092,0.57099,0.57057,0.57074,492
2026-04-06 20:15:00+00:00,0.57074,0.57085,0.57054,0.57085,424
2026-04-06 20:20:00+00:00,0.57085,0.57118,0.57075,0.57113,299
2026-04-06 20:25:00+00:00,0.57115,0.5714,0.57112,0.57136,307
2026-04-06 20:30:00+00:00,0.57137,0.57167,0.57131,0.57144,276
2026-04-06 20:35:00+00:00,0.57144,0.57145,0.57129,0.57139,278
2026-04-06 20:40:00+00:00,0.57139,0.5714,0.57114,0.5713,217
2026-04-06 20:45:00+00:00,0.5713,0.57137,0.57111,0.5712,192
