ts,open,high,low,close,volume,spread
2022-05-01 22:00:00+00:00,1895.635,1899.633,1895.338,1899.068,868,0.5773099078340815
2022-05-01 22:05:00+00:00,1899.098,1899.223,1896.993,1897.918,610,0.5403540983606538
2022-05-01 22:10:00+00:00,1897.738,1898.448,1897.438,1898.188,196,0.4865765306122433
2022-05-01 22:15:00+00:00,1898.168,1898.328,1896.818,1897.088,287,0.4115783972125445
2022-05-01 22:20:00+00:00,1897.108,1897.538,1896.768,1897.088,177,0.4456610169491529
2022-05-01 22:25:00+00:00,1897.088,1897.428,1896.548,1897.088,183,0.43625136612022636
2022-05-01 22:30:00+00:00,1896.918,1897.498,1895.988,1897.038,340,0.42799999999999394
2022-05-01 22:35:00+00:00,1897.038,1898.088,1896.788,1897.233,629,0.43949761526232145
2022-05-01 22:40:00+00:00,1897.368,1897.908,1897.158,1897.398,524,0.3938606870229017
2022-05-01 22:45:00+00:00,1897.348,1898.008,1897.088,1897.958,351,0.3978262108261951
2022-05-01 22:50:00+00:00,1897.988,1898.268,1897.458,1897.798,388,0.377182989690704
2022-05-01 22:55:00+00:00,1897.798,1898.508,1897.793,1897.968,395,0.39031392405063686
2022-05-01 23:00:00+00:00,1897.958,1898.318,1897.168,1897.648,613,0.4070946166394772
2022-05-01 23:05:00+00:00,1897.628,1898.038,1897.488,1898.038,292,0.4206986301369888
2022-05-01 23:10:00+00:00,1898.008,1898.018,1897.398,1897.908,368,0.3935733695652206
2022-05-01 23:15:00+00:00,1897.848,1898.668,1897.608,1898.558,352,0.41218181818182065
2022-05-01 23:20:00+00:00,1898.558,1899.648,1898.228,1899.633,473,0.3771331923890107
2022-05-01 23:25:00+00:00,1899.648,1899.788,1898.193,1899.058,531,0.4275028248587539
2022-05-01 23:30:00+00:00,1899.038,1899.348,1898.133,1898.358,371,0.44576010781670594
2022-05-01 23:35:00+00:00,1898.348,1898.808,1898.058,1898.548,301,0.42445847176078283
2022-05-01 23:40:00+00:00,1898.568,1898.988,1898.338,1898.658,431,0.42654756380510833
2022-05-01 23:45:00+00:00,1898.568,1899.078,1897.803,1897.858,464,0.3556508620689737
2022-05-01 23:50:00+00:00,1897.888,1899.238,1897.888,1898.478,443,0.385325056433419
2022-05-01 23:55:00+00:00,1898.473,1898.568,1896.948,1897.118,478,0.38455857740584765
2022-05-02 00:00:00+00:00,1897.118,1897.588,1896.378,1896.728,865,0.38825664739882854
2022-05-02 00:05:00+00:00,1896.738,1897.313,1896.118,1897.313,739,0.3943558863328775
2022-05-02 00:10:00+00:00,1897.313,1897.438,1896.613,1897.318,829,0.4289601930036108
2022-05-02 00:15:00+00:00,1897.313,1897.923,1896.578,1897.868,869,0.42031530494819946
2022-05-02 00:20:00+00:00,1897.863,1898.373,1892.718,1894.843,1247,0.42256214915796764
2022-05-02 00:25:00+00:00,1894.843,1895.263,1894.118,1894.118,750,0.4080946666666605
2022-05-02 00:30:00+00:00,1894.018,1894.018,1892.978,1893.863,842,0.44276959619952483
2022-05-02 00:35:00+00:00,1893.988,1894.388,1892.779,1892.908,801,0.4057515605493052
2022-05-02 00:40:00+00:00,1892.908,1893.928,1892.798,1893.888,735,0.4056557823129322
2022-05-02 00:45:00+00:00,1893.988,1894.263,1888.863,1891.448,1308,0.4171131498470872
2022-05-02 00:50:00+00:00,1891.448,1891.488,1889.798,1891.388,1040,0.43927596153845977
2022-05-02 00:55:00+00:00,1891.358,1891.428,1890.068,1890.378,870,0.4289367816091964
2022-05-02 01:00:00+00:00,1890.528,1891.988,1890.388,1891.848,1007,0.4247755710029683
2022-05-02 01:05:00+00:00,1891.848,1892.113,1890.803,1891.738,605,0.3823123966942126
2022-05-02 01:10:00+00:00,1891.988,1892.018,1890.938,1891.018,633,0.39179304897313205
2022-05-02 01:15:00+00:00,1891.008,1891.582,1890.693,1891.371,650,0.404086153846144
2022-05-02 01:20:00+00:00,1891.363,1891.858,1890.993,1891.078,583,0.4325728987993257
2022-05-02 01:25:00+00:00,1891.078,1892.098,1890.691,1892.002,785,0.38996687898088306
2022-05-02 01:30:00+00:00,1891.998,1892.398,1891.563,1892.273,561,0.41877540106952116
2022-05-02 01:35:00+00:00,1892.288,1892.288,1891.583,1891.998,464,0.4096357758620815
2022-05-02 01:40:00+00:00,1892.008,1892.488,1891.983,1892.118,451,0.40777161862525696
2022-05-02 01:45:00+00:00,1892.118,1892.148,1890.708,1890.843,611,0.41725859247138064
2022-05-02 01:50:00+00:00,1890.848,1891.508,1890.388,1890.398,549,0.4176830601092834
2022-05-02 01:55:00+00:00,1890.398,1890.988,1889.758,1889.978,571,0.4269439579684685
2022-05-02 02:00:00+00:00,1889.978,1891.663,1889.438,1890.578,737,0.41847896879241286
2022-05-02 02:05:00+00:00,1890.569,1890.828,1889.208,1889.465,579,0.40087910189982245
2022-05-02 02:10:00+00:00,1889.465,1889.578,1887.858,1888.648,873,0.4288877434135115
2022-05-02 02:15:00+00:00,1888.663,1888.828,1887.968,1888.348,582,0.39119759450171493
2022-05-02 02:20:00+00:00,1888.348,1888.668,1887.778,1888.343,479,0.4129039665970795
2022-05-02 02:25:00+00:00,1888.318,1888.378,1884.368,1886.063,1112,0.4310791366906384
2022-05-02 02:30:00+00:00,1886.152,1887.498,1886.152,1887.368,867,0.3880230680507402
2022-05-02 02:35:00+00:00,1887.363,1888.483,1887.037,1888.378,640,0.41190156249999177
2022-05-02 02:40:00+00:00,1888.408,1888.898,1887.808,1888.763,594,0.39134680134682664
2022-05-02 02:45:00+00:00,1888.778,1888.778,1887.588,1887.588,541,0.43641035120146227
2022-05-02 02:50:00+00:00,1887.508,1888.223,1887.418,1888.083,427,0.40065105386416217
2022-05-02 02:55:00+00:00,1888.083,1888.503,1887.603,1887.673,485,0.40979587628867004
2022-05-02 03:00:00+00:00,1887.658,1887.753,1886.738,1886.943,741,0.38754520917677254
2022-05-02 03:05:00+00:00,1886.943,1889.318,1886.583,1888.908,813,0.3752755227552261
2022-05-02 03:10:00+00:00,1888.908,1888.908,1887.968,1888.088,440,0.3908568181818137
2022-05-02 03:15:00+00:00,1888.093,1888.573,1887.868,1888.478,544,0.38477757352941167
2022-05-02 03:20:00+00:00,1888.453,1888.883,1887.978,1888.638,491,0.4289266802444035
2022-05-02 03:25:00+00:00,1888.638,1889.008,1887.438,1887.523,489,0.4545194274028504
2022-05-02 03:30:00+00:00,1887.523,1887.983,1887.188,1887.933,633,0.43009636650869343
2022-05-02 03:35:00+00:00,1887.933,1888.648,1887.533,1888.618,533,0.4326360225140786
2022-05-02 03:40:00+00:00,1888.528,1889.128,1888.318,1889.028,399,0.41148621553887443
2022-05-02 03:45:00+00:00,1889.028,1889.098,1888.338,1888.398,334,0.42290718562872953
2022-05-02 03:50:00+00:00,1888.378,1889.163,1888.358,1888.618,301,0.4211262458471754
2022-05-02 03:55:00+00:00,1888.618,1888.878,1888.293,1888.448,339,0.43238348082595324
2022-05-02 04:00:00+00:00,1888.428,1888.438,1886.308,1886.458,602,0.3695980066445297
2022-05-02 04:05:00+00:00,1886.548,1886.858,1885.918,1885.968,581,0.3926402753872595
2022-05-02 04:10:00+00:00,1885.968,1887.083,1885.938,1886.788,411,0.4077518248175022
2022-05-02 04:15:00+00:00,1886.778,1887.638,1885.388,1885.428,674,0.39210237388723435
2022-05-02 04:20:00+00:00,1885.438,1886.288,1885.148,1885.643,438,0.3994452054794507
2022-05-02 04:25:00+00:00,1885.623,1885.683,1884.668,1885.383,454,0.43107048458148806
2022-05-02 04:30:00+00:00,1885.418,1885.488,1884.418,1884.698,523,0.41534990439769004
2022-05-02 04:35:00+00:00,1884.698,1884.898,1884.028,1884.363,610,0.42542622950818554
2022-05-02 04:40:00+00:00,1884.308,1886.293,1883.763,1886.128,732,0.41097814207649436
2022-05-02 04:45:00+00:00,1886.078,1886.848,1885.553,1885.703,478,0.4150104602510218
2022-05-02 04:50:00+00:00,1885.688,1886.028,1885.463,1885.843,283,0.40895053003532744
2022-05-02 04:55:00+00:00,1885.807,1886.543,1885.298,1885.468,392,0.406823979591822
2022-05-02 05:00:00+00:00,1885.468,1885.468,1883.023,1883.508,828,0.43317028985506856
2022-05-02 05:05:00+00:00,1883.508,1884.338,1882.888,1883.898,492,0.4216869918699012
2022-05-02 05:10:00+00:00,1883.923,1884.298,1882.623,1882.898,572,0.4055419580419509
2022-05-02 05:15:00+00:00,1882.888,1883.688,1882.753,1882.978,410,0.4263219512194931
2022-05-02 05:20:00+00:00,1882.963,1883.588,1882.668,1883.278,407,0.4313513513513607
2022-05-02 05:25:00+00:00,1883.198,1883.813,1882.648,1883.668,422,0.3995236966824708
2022-05-02 05:30:00+00:00,1883.708,1883.758,1883.118,1883.743,408,0.3603480392156677
2022-05-02 05:35:00+00:00,1883.738,1887.013,1883.653,1886.548,854,0.38553044496485833
2022-05-02 05:40:00+00:00,1886.548,1886.678,1884.618,1884.738,504,0.38507341269841316
2022-05-02 05:45:00+00:00,1884.708,1886.433,1884.708,1886.388,780,0.44560128205126975
2022-05-02 05:50:00+00:00,1886.473,1886.888,1886.063,1886.313,556,0.4391978417266039
2022-05-02 05:55:00+00:00,1886.253,1886.553,1885.343,1885.708,544,0.4084007352941178
2022-05-02 06:00:00+00:00,1885.688,1885.988,1883.863,1884.143,955,0.42739267015706955
2022-05-02 06:05:00+00:00,1884.143,1884.793,1883.043,1883.648,765,0.3837019607843121
2022-05-02 06:10:00+00:00,1883.648,1885.008,1883.363,1884.968,569,0.3466731107205597
2022-05-02 06:15:00+00:00,1884.968,1885.173,1883.583,1885.113,596,0.38464597315433957
2022-05-02 06:20:00+00:00,1885.133,1887.358,1885.023,1886.923,790,0.3787354430379606
2022-05-02 06:25:00+00:00,1887.018,1887.288,1886.448,1886.528,574,0.3730104529616752
